,artist_uri,artist
317,spotify:artist:5IkynsVZoak9UR2Xt8qsMj,Michael Brecker
318,spotify:artist:57vWImR43h4CaDao012Ofp,Steve Lacy
319,spotify:artist:7HIvrtPrTTxXrBeJkiRj8x,Ithaca
320,spotify:artist:5v4Rmw4m3h9jJUeXd4hD2m,Toxik
321,spotify:artist:2hsun1GbceH62Hhcj7cp2V,Bridget Kelly
322,spotify:artist:2zq0uqN9Wq12tqrQQt1ozw,Mr. Bungle
323,spotify:artist:088GBJ3ST0jaG1223nhBGU,Demigod
324,spotify:artist:1C6G15UmVQMDGpYbdsf1Oi,Lord Finesse
325,spotify:artist:4MERAVAHX04B50JOnasmWf,Renaissance
326,spotify:artist:36cEnU1vYfohStmnt8y3T2,King Khan and the Shrines
327,spotify:artist:20Yg9gqsN4nSGc8sGStkOx,Slag Boom Van Loon
328,spotify:artist:64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha
329,spotify:artist:1nl0JqITH0ba3tvOAPDqoT,Wombbath
330,spotify:artist:6QQuESLtKhAOcLW2TeWC2t,Art Blakey
331,spotify:artist:7aKv42QgcrCLQg37J4CkTM,TVAM
332,spotify:artist:7tLLSEaHMMJPbsYAz8MkEw,Blue Magic
333,spotify:artist:0rn77OFITGV5D70eGQ5VUF,Nefandus
334,spotify:artist:0A1fXDw6kferKgLY4UMxNi,Miguel Araújo
335,spotify:artist:691nF1fI0SKCfsIypzFr7h,Marva Whitney
336,spotify:artist:5sennRot4Ls82wfspEQuf2,Leela James
337,spotify:artist:69wYvVWNm68Vrndzw0GZgR,Birth Control
338,spotify:artist:3dg4JniGD2gaZj0IpEUbWZ,Der Blutharsch
339,spotify:artist:6DM1YETeVIN3ce24DhnMhU,Folk Implosion
340,spotify:artist:0BLh5cn4nqfqoVUREx3hLj,Golden Smog
341,spotify:artist:3M2LPcqyD4PxbOFvtF05R7,Chatham County Line
342,spotify:artist:3Hg2a04c1Z2I3wKX32hLGU,The Depreciation Guild
343,spotify:artist:0Ye3ZNWgO9q90rzLXvGNML,Smashproof
344,spotify:artist:2cevwbv7ISD92VMNLYLHZA,Rilo Kiley
345,spotify:artist:5Bz8k8phXRsAtBB6xrIR83,bel canto
